val	count
43.9	13
45.42	6
44.82	8
61.2	5
60.85	8
41.31	12
46.77	5
30.27	2
53.99	1
61.61	7
54.16	1
49.09	1
48.36	3
48.91	4
61.9	9
44.86	9
51.22	2
37.32	6
37.52	4
31.21	4
55.45	8
26.77	1
26.61	2
47.75	2
45.16	15
38.12	7
43.61	6
56.2	10
54.27	6
53.96	4
47.83	5
53.98	2
41.49	14
44.24	8
44.28	6
44.26	6
60.83	10
48.64	9
54.21	6
56.23	11
63.41	4
62.6	1
54.02	5
63.68	1
60.27	5
58.69	6
59.54	8
58.57	10
58.0	6
46.35	6
47.11	7
48.57	1
57.94	8
38.1	5
43.4	8
43.66	8
64.04	1
64.43	6
45.62	6
48.11	5
54.46	3
52.32	1
55.46	7
58.6	10
45.8	1
60.67	7
55.65	12
51.83	1
48.27	1
32.01	6
26.76	4
26.74	2
26.27	10
25.85	3
36.93	5
35.52	8
36.95	4
48.7	4
67.6	2
53.94	5
51.72	5
38.43	6
39.68	4
45.53	4
57.22	7
60.95	8
45.82	2
54.64	4
56.58	9
35.58	7
66.23	2
63.95	1
64.35	5
62.9	3
51.13	2
63.91	2
51.95	6
58.08	7
60.78	6
40.92	2
45.69	5
53.88	3
46.25	1
47.44	5
53.04	1
63.29	3
61.34	11
70.61	2
60.53	4
60.06	5
58.17	6
58.22	14
45.68	5
45.83	5
36.4	7
35.83	6
38.54	5
40.73	10
51.2	1
63.27	6
31.73	3
26.12	3
27.37	5
33.72	8
37.35	8
34.0	6
34.15	3
49.85	6
48.69	2
51.23	3
48.2	3
45.56	9
40.64	4
35.44	6
62.03	3
59.9	5
58.48	8
58.7	11
40.57	9
26.02	5
27.73	3
53.67	3
45.1	6
39.12	10
35.26	7
28.65	2
32.45	6
62.62	7
43.03	11
30.4	3
50.58	5
50.54	3
61.76	7
39.8	17
40.14	8
42.03	26
60.57	7
46.53	7
49.19	2
65.42	2
53.65	8
48.73	3
54.3	5
53.63	5
57.68	7
55.49	13
56.03	3
54.08	3
54.32	5
54.88	7
55.08	9
59.51	7
58.39	6
57.44	7
54.96	4
52.33	2
52.06	6
53.42	6
54.25	6
56.57	10
41.45	11
46.0	7
62.93	5
60.55	4
58.64	8
59.45	4
57.66	15
34.59	5
64.21	1
61.48	2
47.22	5
38.4	7
41.27	48
47.37	9
60.84	6
63.64	4
55.42	9
58.77	12
38.96	5
59.53	7
57.26	7
36.89	2
48.77	7
54.69	5
63.2	6
61.96	8
59.93	11
41.82	13
60.69	3
60.76	4
62.76	1
57.65	11
51.8	12
38.65	5
45.01	6
63.61	7
51.49	5
49.21	3
53.64	7
54.67	5
49.86	3
29.04	2
57.85	9
40.68	9
42.1	4
44.03	4
54.43	2
52.7	2
51.67	7
42.01	8
47.27	1
40.18	4
38.31	6
33.96	7
42.27	21
33.59	4
63.97	3
46.29	6
52.35	4
51.75	7
54.81	9
55.32	7
60.38	4
25.93	7
49.16	7
58.42	4
60.73	2
63.89	3
61.33	5
51.39	4
59.25	5
57.81	7
57.24	11
57.19	4
46.8	7
37.69	7
52.34	5
41.35	6
47.74	5
29.05	3
35.82	4
46.76	2
61.87	5
61.79	8
49.82	2
58.15	8
54.26	3
46.81	1
45.75	5
51.05	2
51.46	3
60.92	4
40.23	1
37.34	11
37.53	4
